"Reference","Value","Manufacturer Part","Manufacturer","LCSC","Description"
"5V-TP5","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"12V-TP4","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"C1","220nF 25V","CL10B224KA8NNNC","Samsung Electro-Mechanics","C21120","220nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","220nF 25V","CL10B224KA8NNNC","Samsung Electro-Mechanics","C21120","220nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C3","22nF 50V","CL10B223KB8NNNC","Samsung Electro-Mechanics","C21122","22nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","2.2uF 50V","CL21A225KBQNNNE","Samsung Electro-Mechanics","C377773","2.2uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","100nF 100V","CL21B104KCFNNNE","Samsung Electro-Mechanics","C28233","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C6","1nF","GR442QR73D102KW01L","Murata Electronics","C76916","1nF 2kV X7R ±10% 1808"
"C7","1nF","GR442QR73D102KW01L","Murata Electronics","C76916","1nF 2kV X7R ±10% 1808"
"C8","220nF 25V","CL10B224KA8NNNC","Samsung Electro-Mechanics","C21120","220nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C9","4.7uF 50V","GRM21BZ71H475KE15L","Murata Electronics","C437557","4.7uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C10","2.2uF 100V","CL31B225KCHSNNE","Samsung Electro-Mechanics","C170101","100V 2.2uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C11","2.2uF 100V","CL31B225KCHSNNE","Samsung Electro-Mechanics","C170101","100V 2.2uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C12","100nF 100V","CL21B104KCFNNNE","Samsung Electro-Mechanics","C28233","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C13","220pF 100V","GCM1885C2A221JA16D","Murata Electronics","C388907","100V 220pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C14","22uF 35V","GMK325BJ226MM-P","Taiyo Yuden","C778721","22uF 35V X5R ±20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C15","22uF 35V","GMK325BJ226MM-P","Taiyo Yuden","C778721","22uF 35V X5R ±20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C16","22uF 35V","GMK325BJ226MM-P","Taiyo Yuden","C778721","22uF 35V X5R ±20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C17","100nF 100V","CL21B104KCFNNNE","Samsung Electro-Mechanics","C28233","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C18","10uF 25V","GRM21BZ71E106KE15L","Murata Electronics","C237493","10uF 25V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C19","100nF 100V","CL21B104KCFNNNE","Samsung Electro-Mechanics","C28233","100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C20","22uF 35V","GMK325BJ226MM-P","Taiyo Yuden","C778721","22uF 35V X5R ±20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C21","22uF 35V","GMK325BJ226MM-P","Taiyo Yuden","C778721","22uF 35V X5R ±20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"D1","TB310S","TB310S","Diotec","C382784","-55℃~+150℃ 100V 300uA@100V 3A 70A 850mV@3A Single-Phase Rectifier ABS Bridge Rectifiers ROHS"
"D2","TB310S","TB310S","Diotec","C382784","-55℃~+150℃ 100V 300uA@100V 3A 70A 850mV@3A Single-Phase Rectifier ABS Bridge Rectifiers ROHS"
"D3","SMAJ58A","SMAJ58A","hongjiacheng","C19077554","TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS 1uA 4.3A@10/1000us 400W@10/1000us 58V 71.2V 93.6V IEC 61000-4-2 -55℃~+150℃"
"D4","SBRT20U60SP5-7","SBRT20U60SP5-7","Diodes Incorporated","C156299","20A 320A 400uA 480mV@20A 60V PowerDI-5 Super Barrier Rectifiers (SBR) ROHS -55℃~+150℃"
"GND-TP3","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"J2","Conn_02x02_Odd_Even","","","C2840016","Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"JP1","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"JP2","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"JP3","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"JP4","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"L1","10uH","DFE252012F-100M=P2","Murata Electronics","C703141","1.4A 10uH 400mΩ 950mA ±20% 1008 Power Inductors ROHS"
"L2","2.2uH","FTC322510S2R2MBCA","cjiang (Changjiang Microelectronics Tech)","C18724399","2.2uH 3.7A 4A 66mΩ ±20% 1210 Power Inductors ROHS"
"PG-TP1","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"R1","24.9kΩ","0603WAF2492T5E","UNI-ROYAL(Uniroyal Elec)","C25962","-55℃~+155℃ 100mW 24.9kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS"
"R2","41.2Ω","0603WAF412JT5E","UNI-ROYAL(Uniroyal Elec)","C246850","-55℃~+155℃ 100mW 41.2Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS"
"R3","0Ω","0603WAF0000T5E","UNI-ROYAL(Uniroyal Elec)","C21189","-55℃~+155℃ 0Ω 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS"
"R4","9.1kΩ","FRC0603J912 TS","FOJAN","C2907210","-55℃~+155℃ 100mW 75V 9.1kΩ Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS"
"R5","3kΩ","0603WAF3001T5E","UNI-ROYAL(Uniroyal Elec)","C4211","-55℃~+155℃ 100mW 3kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS"
"R6","330kΩ","0603WAF3303T5E","UNI-ROYAL(Uniroyal Elec)","C23137","-55℃~+155℃ 100mW 330kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS"
"R7","240kΩ","0603WAF2403T5E","UNI-ROYAL(Uniroyal Elec)","C4197","-55℃~+155℃ 100mW 240kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS"
"R8","20Ω","RC1206FR-7W20RL","Yageo","C859156","20Ω 500mW"
"R9","52.3kΩ","0805W8F5232T5E","UNI-ROYAL(Uniroyal Elec)","C17740","-55℃~+155℃ 125mW 150V 52.3kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS"
"R10","10kΩ","0805W8F1002T5E","UNI-ROYAL(Uniroyal Elec)","C17414","-55℃~+155℃ 10kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS"
"SW-TP2","PZ200V-11-02P","PZ200V-11-02P","XFCN","C541856","-40℃~+105℃ 1 1.5A 1x2P 2.8mm 250V 2P 2mm 2mm 3.9mm Black Brass Pin Header Through Hole 插件,P=2mm Pin Headers ROHS"
"T1","EP475SG-10","EP475SG-10","CND-tek","C42401037","12V 1:0.5:0.55 2.1A 37uH 37~57V 750nH SMD-10P,13.5x13mm Power Transformers ROHS"
"U2","TPE15017","","3Peak","C26159122","Integrated PoE Frontend & DC/DC controller with FETs"
"U4","AP62250WU-7","AP62250WU-7","Diodes Incorporated","C5184228","-40℃~+85℃ 1 1.3MHz 155uA 2.5A 4.2V~18V 800mV~7V Adjustable Buck Buck Built-in Yes TSOT-26 DC-DC Converters ROHS"
